City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,codrington,-38.2667,141.9667,13.13,82,90,9.53,AU,2024-08-25 15:36:55
1,middletown,39.5151,-84.3983,31.19,61,0,2.06,US,2024-08-25 15:34:25
2,zheleznodorozhnyy,55.7503,38.0042,25.75,51,0,0.73,RU,2024-08-25 15:36:56
3,puerto natales,-51.7236,-72.4875,4.25,87,75,1.03,CL,2024-08-25 15:36:56
4,ginir,7.1333,40.7,17.23,66,100,4.26,ET,2024-08-25 15:36:56
5,lihue,21.9789,-159.3672,24.77,89,75,8.75,US,2024-08-25 15:36:56
6,ulluaya,42.3738,47.3745,14.12,87,58,2.33,RU,2024-08-25 15:36:56
7,alice springs,-23.7,133.8833,17.75,48,25,0.0,AU,2024-08-25 15:36:56
8,harar,9.3094,42.1258,15.61,80,94,1.6,ET,2024-08-25 15:36:56
9,taltal,-25.4,-70.4833,15.63,73,48,1.91,CL,2024-08-25 15:36:56
10,port-aux-francais,-49.35,70.2167,3.73,86,83,13.53,TF,2024-08-25 15:36:56
11,narrabri,-30.3167,149.7833,16.96,84,99,3.51,AU,2024-08-25 15:36:56
12,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,0,1.0,RU,2024-08-25 15:36:57
13,lethem,3.3803,-59.7968,35.21,40,73,3.01,GY,2024-08-25 15:36:57
14,waitangi,-43.9535,-176.5597,11.57,95,100,4.47,NZ,2024-08-25 15:36:57
15,adamstown,-25.066,-130.1015,20.67,77,100,10.13,PN,2024-08-25 15:36:57
16,myingyan,21.4667,95.3833,25.09,87,91,5.66,MM,2024-08-25 15:36:57
17,richards bay,-28.783,32.0377,19.45,77,28,2.74,ZA,2024-08-25 15:36:57
18,margaret river,-33.95,115.0667,16.12,79,74,7.67,AU,2024-08-25 15:36:57
19,kandete,-9.15,33.8,14.71,55,82,0.73,TZ,2024-08-25 15:36:57
20,avarua,-21.2078,-159.775,22.03,73,75,7.72,CK,2024-08-25 15:36:57
21,udachny,66.4167,112.4,9.64,88,100,5.16,RU,2024-08-25 15:36:58
22,ushuaia,-54.8,-68.3,7.81,66,40,3.09,AR,2024-08-25 15:36:58
23,jamestown,42.097,-79.2353,25.57,59,20,1.54,US,2024-08-25 15:36:58
24,tiksi,71.6872,128.8694,3.26,93,100,4.41,RU,2024-08-25 15:36:58
25,nar'yan-mar,67.6713,53.087,13.29,87,65,3.04,RU,2024-08-25 15:36:58
26,i-n-salah,27.1935,2.4607,42.62,10,0,6.47,DZ,2024-08-25 15:36:58
27,san patricio,28.017,-97.5169,30.97,48,3,4.33,US,2024-08-25 15:36:58
28,cockburn town,21.4612,-71.1419,28.51,73,2,6.03,TC,2024-08-25 15:36:58
29,utrik,11.2278,169.8474,28.51,80,88,7.7,MH,2024-08-25 15:36:59
30,seydi,39.4816,62.9137,28.25,17,0,5.47,TM,2024-08-25 15:36:59
31,tomatlan,19.9333,-105.25,29.62,63,66,0.25,MX,2024-08-25 15:36:59
32,yuzhno-kurilsk,44.0306,145.8556,15.34,82,100,4.01,RU,2024-08-25 15:36:59
33,kerikeri,-35.2268,173.9474,8.4,94,33,1.23,NZ,2024-08-25 15:36:59
34,georgetown,5.4112,100.3354,27.96,87,20,1.54,MY,2024-08-25 15:36:59
35,tazovsky,67.4667,78.7,10.62,76,20,1.8,RU,2024-08-25 15:36:59
36,tyul'gan,52.3405,56.166,12.05,92,68,0.76,RU,2024-08-25 15:36:59
37,hithadhoo,-0.6,73.0833,28.03,75,100,3.72,MV,2024-08-25 15:36:59
38,chinde,26.8212,87.7095,24.53,93,44,1.4,NP,2024-08-25 15:36:59
39,remire-montjoly,4.9167,-52.2667,33.02,58,20,3.09,GF,2024-08-25 15:37:00
40,albany,42.6001,-73.9662,23.69,65,65,0.88,US,2024-08-25 15:37:00
41,grytviken,-54.2811,-36.5092,-1.78,63,4,2.56,GS,2024-08-25 15:37:00
42,anadyr,64.75,177.4833,6.28,70,75,6.0,RU,2024-08-25 15:37:00
43,watford city,47.8022,-103.2832,21.92,68,0,3.6,US,2024-08-25 15:37:00
44,haiku-pauwela,20.9219,-156.3051,24.57,94,100,10.73,US,2024-08-25 15:37:00
45,chicoana,-25.1009,-65.5331,12.03,37,7,3.29,AR,2024-08-25 15:35:19
46,vail,32.0479,-110.712,30.14,44,53,0.89,US,2024-08-25 15:35:05
47,edinburgh of the seven seas,-37.0676,-12.3116,10.93,72,71,10.0,SH,2024-08-25 15:37:00
48,holualoa,19.6228,-155.9522,21.91,99,75,4.12,US,2024-08-25 15:37:01
49,afaahiti,-17.75,-149.2833,22.19,82,100,10.6,PF,2024-08-25 15:37:01
50,kalmunai,7.4167,81.8167,28.72,71,17,1.04,LK,2024-08-25 15:37:01
51,yellowknife,62.456,-114.3525,15.79,70,20,2.57,CA,2024-08-25 15:37:01
52,mersing,2.4312,103.8405,23.95,100,20,2.57,MY,2024-08-25 15:37:01
53,guerrero negro,27.9769,-114.0611,22.6,66,0,5.54,MX,2024-08-25 15:36:58
54,dunda,-8.1167,34.25,22.8,25,12,2.62,TZ,2024-08-25 15:37:01
55,dhamar,14.5427,44.4051,17.74,75,53,4.16,YE,2024-08-25 15:37:01
56,stanley,54.868,-1.6985,14.04,85,75,5.14,GB,2024-08-25 15:37:01
57,ilebo,-4.3167,20.5833,35.81,20,38,1.06,CD,2024-08-25 15:37:01
58,papatowai,-46.5619,169.4708,3.38,86,29,0.76,NZ,2024-08-25 15:37:02
59,blackmans bay,-43.0167,147.3167,12.07,89,95,0.45,AU,2024-08-25 15:37:02
60,tutoia,-2.7619,-42.2744,30.71,52,41,5.99,BR,2024-08-25 15:37:02
61,belmonte,-15.8631,-38.8828,26.93,55,24,3.91,BR,2024-08-25 15:37:02
62,constantia,44.1833,28.65,29.38,74,0,6.05,RO,2024-08-25 15:33:08
63,emkhomazi,-30.2067,30.7978,19.23,73,77,4.32,ZA,2024-08-25 15:37:02
64,puerto ayora,-0.7393,-90.3518,19.19,94,58,3.13,EC,2024-08-25 15:37:02
65,ikalamavony,-21.15,46.5833,15.98,63,1,4.88,MG,2024-08-25 15:37:02
66,phalodi,27.1333,72.3667,34.17,44,42,5.92,IN,2024-08-25 15:37:02
67,san luis de la loma,17.2706,-100.8939,29.56,70,2,1.44,MX,2024-08-25 15:37:02
68,punta arenas,-53.15,-70.9167,5.06,87,100,3.09,CL,2024-08-25 15:35:57
69,kodiak,57.79,-152.4072,9.73,66,0,6.17,US,2024-08-25 15:37:03
70,totness,5.8833,-56.3167,32.67,52,56,3.25,SR,2024-08-25 15:37:03
71,ta`u,-14.2336,-169.5144,26.29,84,94,8.55,AS,2024-08-25 15:37:03
72,bethel,41.3712,-73.414,27.47,61,0,0.0,US,2024-08-25 15:37:03
73,port lincoln,-34.7333,135.8667,13.32,86,20,6.09,AU,2024-08-25 15:37:03
74,likiep,9.8251,169.3107,28.42,79,99,5.55,MH,2024-08-25 15:37:03
75,kudahuvadhoo,2.6708,72.8944,28.18,73,90,3.65,MV,2024-08-25 15:37:03
76,hawaiian paradise park,19.5933,-154.9731,24.94,98,100,8.23,US,2024-08-25 15:37:03
77,tocache,-8.1842,-76.5125,28.96,58,90,1.33,PE,2024-08-25 15:33:35
78,geraldton,-28.7667,114.6,11.23,93,26,1.54,AU,2024-08-25 15:37:04
